brand,model,price,year,mileage,engine_power,engine_displacement,fuel_consumption,registration_until,service_book,garage_kept,num_of_features
Ford,Kuga,13900.0,2017,153000,88,1.499,5.0,,False,False,35
BMW,serija 3 Touring,16500.0,2016,130000,85,1.998,5.0,2025-10-31,True,True,48
BMW,serija 5,30000.0,2019,106240,140,1.995,6.3,2025-10-31,True,False,113
Audi,Q7,46900.0,2017,200642,200,2.967,7.8,2025-04-30,True,True,67
Ford,Kuga,9350.0,2011,223000,120,1.997,7.0,,False,False,37
Ford,Kuga,10700.0,2013,180000,103,1.998,6.5,2025-04-30,False,False,27
BMW,X1,51500.0,2022,30000,110,1.995,6.0,2025-01-31,True,True,66
BMW,X4,33500.0,2018,96000,190,3.0,8.0,2025-06-30,True,True,72
Dacia,Sandero,9100.0,2020,38222,54,1.0,5.0,,True,True,35
BMW,serija 1,14800.0,2018,79000,100,1.499,7.0,2025-03-31,True,False,37
BMW,serija 2 Gran Tourer,13900.0,2015,183511,110,1.995,5.0,,False,True,50
Fiat,500,14900.0,2017,63000,51,1.242,6.5,2025-04-30,True,True,18
Citroën,Jumpy,4600.0,2010,248000,90,1.998,8.0,2025-02-28,False,False,20
BMW,serija 1,13500.0,2015,147000,85,1.496,6.0,2025-08-31,False,False,44
BMW,serija 3,28500.0,2019,134000,140,1.995,6.3,,False,False,39
Audi,A6,20500.0,2016,167000,140,1.968,7.5,2025-08-31,True,False,47
Audi,A4,26500.0,2018,115000,140,1.968,6.5,2025-04-30,True,True,68
Ford,Focus,2900.0,2007,200000,66,1.6,5.0,2025-04-30,True,False,27
Audi,Q7,38300.0,2016,175000,200,2.967,8.5,2024-12-31,True,True,8
Audi,S6,42888.0,2020,101000,257,2.967,6.8,,True,False,60
Ford,Focus Karavan,2350.0,2008,266587,80,1.56,6.2,2025-05-31,True,True,34
Audi,A3,16900.0,2018,118268,85,1.598,5.5,,True,True,17
Audi,Q3,34400.0,2019,69700,110,1.968,5.5,2025-03-31,True,True,60
BMW,serija 5,26550.0,2017,132440,135,1.995,6.0,2024-11-30,True,False,7
BMW,serija 3,40000.0,2021,33450,140,2.0,6.0,2025-07-31,True,False,47
Ford,C-Max,6500.0,2014,230000,85,1.6,5.0,2025-12-31,True,True,42
BMW,serija 3,11550.0,2012,170000,105,1.995,6.0,2025-06-30,False,False,52
Audi,A6 Avant,14000.0,2014,258000,150,2.967,6.3,2025-02-28,False,False,81
BMW,serija 3,35500.0,2019,98000,218,1.998,5.0,,True,False,55
Audi,A5 Sportback,12990.0,2013,260000,150,2.967,7.0,2025-06-30,False,False,37
BMW,serija 5,38599.0,2020,81000,187,1.999,3.0,2025-03-31,True,True,68
BMW,serija 1,7999.0,2012,188396,85,1.995,5.5,,True,True,123
Audi,A3,12000.0,2015,215000,81,1.598,5.2,,False,True,81
Ford,Fiesta,7100.0,2013,95000,60,1.242,5.21,2025-01-31,True,True,63
Audi,A3,16299.0,2018,154678,85,1.598,5.5,,True,True,54
Audi,A5 Sportback,16200.0,2015,293000,140,1.968,5.0,,True,True,55
Dacia,Sandero,9500.0,2017,59000,66,0.9,6.0,2025-04-30,False,True,39
Alfa Romeo,Giulietta,8000.0,2013,167000,77,1.6,6.0,,False,False,45
BMW,serija 3 Touring,6499.0,2009,252856,105,2.0,6.5,,False,False,43
BMW,serija 5,49900.0,2023,31000,140,2.0,5.0,2025-05-31,True,True,71
Ford,Fiesta,1900.0,2008,253000,55,1.242,6.5,2025-07-31,False,False,23
Alfa Romeo,Stelvio,26900.0,2017,143000,154,2.143,7.5,2025-05-31,True,False,24
Ford,C-Max,7990.0,2012,215000,85,1.994,7.0,2025-01-31,False,False,46
Audi,A4,8880.0,2010,270000,140,2.698,7.2,2025-03-31,False,False,69
Audi,S5,45000.0,2018,165000,260,2.995,15.0,2024-11-30,True,True,50
Audi,A3,16199.0,2019,154400,85,1.598,5.0,,True,True,51
Audi,A6 Allroad,33000.0,2017,145000,160,3.0,8.2,2024-11-30,True,True,57
Audi,A3,11699.0,2013,174000,77,1.598,5.0,,True,True,47
BMW,X5,37990.0,2018,145000,190,2.993,8.5,,True,True,45
BMW,serija 3,12500.0,2016,208000,85,1.995,5.5,,True,True,54
BMW,serija 2,18000.0,2015,200000,140,1.995,6.8,2024-12-31,True,False,51
BMW,X2,20999.0,2018,158236,85,1.499,5.0,,True,True,65
BMW,X4,48900.0,2020,80000,140,1.995,6.5,2025-02-28,False,False,82
Citroën,C3,7999.0,2016,118000,73,1.56,5.0,,True,True,63
BMW,X5,5800.0,2004,300000,160,2.993,8.5,2025-03-31,False,False,95
BMW,serija 3 Gran Turismo,23250.0,2019,117187,140,1.995,6.2,,True,False,38
Audi,Q5,24999.0,2018,152670,120,1.968,5.4,,True,False,39
BMW,X1,15299.0,2016,190000,110,1.995,6.0,2025-05-31,True,True,50
Ford,Focus,6500.0,2012,190000,85,1.56,6.0,,False,True,57
Ford,Focus,19000.0,2021,63200,110,1.998,6.6,2025-05-31,True,False,52
BMW,serija 1,27500.0,2021,21000,85,1.496,6.0,2025-04-30,True,True,46
BMW,X6,85000.0,2023,15000,210,2.993,7.0,2025-05-31,True,False,33
Citroën,C4,5150.0,2012,297000,68,1.56,5.0,2025-06-30,True,True,78
Fiat,Panda,2500.0,2006,170000,44,1.2,6.0,2025-02-28,False,False,12
Audi,A4,20799.0,2018,164900,110,1.968,5.0,,False,True,84
Audi,A4 Avant,22850.0,2016,185000,135,3.0,7.0,,True,True,63
Fiat,Tipo,21980.0,2024,4400,73,1.0,7.0,2025-05-31,False,False,63
BMW,serija 3,8500.0,2011,195000,105,2.0,6.0,2025-10-31,True,False,40
Citroën,C4 Picasso,9500.0,2016,159000,88,1.56,6.9,2025-09-30,True,False,77
BMW,serija 1,11500.0,2015,197000,110,1.995,4.5,2025-09-30,False,True,83
BMW,serija 2 Gran Tourer,13900.0,2018,159000,85,1.496,5.5,,True,True,60
BMW,X1,22222.0,2019,189000,110,1.998,5.0,2025-10-31,True,False,61
Audi,A4,17500.0,2017,235500,140,1.968,5.6,2025-07-31,False,False,51
Audi,RS6,65000.0,2015,129000,412,3.993,15.0,2025-07-31,True,True,52
BMW,serija 6,28999.0,2014,137000,230,2.993,8.0,2024-11-30,True,True,90
BMW,serija 3,27900.0,2020,149900,110,1.997,5.0,2025-04-30,True,True,77
BMW,serija 5,26490.0,2019,123612,140,1.995,4.5,,True,True,86
Audi,A6 Avant,12200.0,2014,290000,150,3.0,8.0,2025-05-31,True,False,46
Audi,A4 Avant,14250.0,2016,167000,110,1.968,5.5,2025-04-30,True,False,97
BMW,serija 3 Touring,20900.0,2020,175000,110,2.0,5.5,2025-03-31,True,True,46
Audi,A6,52900.0,2019,133000,210,2.967,7.5,2025-08-31,True,False,114
Audi,Q2,16900.0,2017,151000,85,1.598,5.5,2024-11-30,False,False,36
BMW,serija 5,22500.0,2015,240000,190,2.993,9.0,2024-11-30,True,True,92
Fiat,500X,12990.0,2017,116687,88,1.598,6.0,2025-06-30,False,False,21
BMW,serija 3,31500.0,2022,95568,110,1.995,5.3,,False,False,70
Fiat,Doblo,8900.0,2015,118000,66,1.3,5.0,,True,True,43
Dacia,Duster,21000.0,2023,20000,110,1.332,7.0,2024-08-31,False,False,13
BMW,X3,35500.0,2017,72000,140,1.995,8.0,2025-07-31,False,False,79
Citroën,Berlingo,16990.0,2021,135000,96,1.5,6.0,,True,True,45
Fiat,Multipla,1000.0,2001,283565,81,1.91,6.0,,False,False,32
Citroën,C3,5300.0,2014,185000,50,1.398,5.5,,False,True,16
Fiat,Panda,8500.0,2014,23400,51,1.242,5.2,2025-05-31,True,True,35
Audi,A1,6000.0,2011,281000,77,1.598,4.0,2025-10-31,False,False,59
BMW,serija 5,49800.0,2022,90000,140,1.995,6.8,2025-06-30,True,False,34
BMW,serija 3 Touring,28250.0,2020,134232,140,1.995,4.9,,True,True,56
BMW,X4,39900.0,2021,130000,140,1.995,6.5,2025-05-31,True,True,132
Audi,Q2,22200.0,2021,33000,110,0.999,5.5,2025-11-30,False,False,8
Audi,Q3,29700.0,2018,124000,110,2.0,6.3,2025-03-31,True,True,53
BMW,X2,25999.0,2020,147300,110,1.995,6.1,,True,False,109
Audi,Q3,15250.0,2014,168000,103,1.968,6.0,2025-02-28,True,True,83
Audi,A4 Avant,27900.0,2021,157000,140,1.996,5.0,2025-05-31,True,False,75
Aston Martin,DBX,195000.0,2020,66000,405,6.0,14.3,,True,True,69
BMW,serija 4 Coupe,20999.0,2015,245000,190,2.998,7.0,2025-04-30,False,True,50
BMW,X1,15000.0,2016,299000,110,1.994,5.7,2025-08-31,True,False,53
Fiat,Uno,1190.0,2000,100021,33,0.999,5.0,,False,False,7
BMW,X1,13500.0,2014,176000,135,1.995,6.0,2025-02-28,False,True,99
Audi,A7,34500.0,2016,229000,240,2.967,8.0,2025-10-31,True,True,64
Cupra,Leon,26000.0,2021,29000,110,1.4,1.7,2025-02-28,True,False,55
Fiat,Punto Evo,2850.0,2010,268258,55,1.3,5.0,2025-12-31,False,False,35
Audi,Q7,36900.0,2016,223000,200,2.967,9.0,2025-05-31,False,False,67
BMW,serija 3,28850.0,2019,111000,110,1.995,5.0,,True,True,63
Fiat,500,11999.0,2019,64000,51,1.242,5.5,,True,True,16
Audi,A3,17999.0,2019,83000,110,1.5,5.0,2025-02-28,True,True,54
BMW,X4,45900.0,2020,62000,210,2.993,6.3,2025-05-31,True,True,67
Fiat,Grande Punto,3600.0,2008,117000,55,1.4,6.5,2025-05-31,False,False,23
Ford,B-Max,6900.0,2014,163570,74,0.998,5.2,,True,True,109
Audi,A4 Avant,11500.0,2014,223450,100,1.968,6.0,2025-01-31,True,False,86
BMW,serija 5,20000.0,2016,183000,140,2.0,6.0,2025-02-28,True,False,56
Audi,A4,34800.0,2020,93500,150,2.0,5.0,2025-05-31,True,True,58
BMW,serija 5,10500.0,2014,259000,120,1.995,6.0,2025-11-30,False,True,87
Audi,A4 Avant,14500.0,2017,260000,110,1.968,6.3,2025-09-30,False,False,54
Audi,A4 Avant,17990.0,2018,178000,140,1.968,8.0,,True,True,75
Dacia,Duster,16500.0,2019,67905,96,1.332,5.0,,True,True,13
BMW,serija 3,14700.0,2015,189000,110,1.998,5.0,2025-11-30,False,True,42
Audi,A3,7500.0,2011,298000,77,1.598,6.0,2025-11-30,False,True,39
BMW,serija 2 Gran Coupe,33000.0,2022,43000,103,1.5,7.0,2024-11-30,True,True,66
BMW,X1,11200.0,2014,136600,85,1.995,6.0,2025-08-31,False,False,27
Audi,Q5,29700.0,2015,199000,230,2.967,9.0,,True,True,59
BMW,serija 3,25700.0,2019,57000,110,1.995,5.0,2025-05-31,True,True,62
Audi,A6 Avant,34400.0,2020,77700,150,1.968,5.5,2025-10-31,True,False,66
Ford,Ecosport,8999.0,2016,104000,92,0.998,5.0,,False,False,51
BMW,serija 3,5700.0,2009,290000,105,1.995,5.5,,True,True,65
BMW,serija 5,35000.0,2018,151000,195,2.993,7.0,2025-09-30,True,True,66
Audi,Q2,22700.0,2019,41800,85,0.999,7.5,2025-07-31,True,False,42
BMW,serija 3 Touring,6000.0,2009,270000,130,1.995,5.0,2025-07-31,False,False,44
Ford,Fiesta,4444.0,2012,242100,70,1.56,5.1,,False,False,71
Audi,A5 Sportback,10900.0,2009,282000,176,2.967,7.0,2025-09-30,False,True,57
Audi,A5 Sportback,23000.0,2018,196000,160,2.967,6.0,2024-12-31,True,True,57
BMW,serija 3,34800.0,2021,105000,140,1.995,7.0,2025-05-31,True,True,62
BMW,serija 3,17500.0,2014,112357,110,1.8,5.0,2025-07-31,False,True,33
Audi,A5 Sportback,29500.0,2018,87000,110,1.968,5.0,2025-07-31,True,True,76
Audi,A3,21990.0,2021,150000,85,1.968,5.0,,True,False,87
Citroën,DS,11500.0,2015,51000,150,1.6,7.5,2025-10-31,True,True,39
Audi,A6 Avant,17222.0,2015,196800,140,1.968,5.7,,False,False,125
Ford,Mondeo Karavan,8500.0,2016,140000,132,1.997,5.5,2025-06-30,True,True,48
Audi,A4,43000.0,2021,90000,150,1.968,6.0,2024-12-31,True,True,49
Audi,A5 Coupe,9200.0,2008,202000,125,1.798,11.0,2025-04-30,False,False,62
Audi,A3,5000.0,2006,231800,77,1.896,5.0,2025-03-31,False,True,27
BMW,serija 4 Cabriolet,44500.0,2019,62964,240,2.998,7.8,,True,True,60
BMW,serija 4 Cabriolet,35700.0,2017,78000,185,1.998,6.4,,True,True,53
BMW,serija 1,6500.0,2011,212000,105,1.995,6.5,2025-01-31,False,False,61
Fiat,Tipo,10999.0,2018,103000,70,1.248,5.0,,True,True,11
Fiat,500L,8999.0,2015,152000,88,1.598,6.2,,True,False,87
Audi,A3,21200.0,2019,108000,85,1.598,5.0,,True,False,51
Citroën,C4,14400.0,2019,96700,96,1.499,6.5,2025-10-31,True,True,56
BMW,X6,55000.0,2017,86000,190,2.993,10.1,,False,True,67
Ford,C-Max,8490.0,2017,217000,88,1.499,5.0,2025-01-31,True,True,67
BMW,serija 2 Gran Coupe,36900.0,2020,78000,140,1.998,5.0,2025-05-31,False,False,73
BMW,serija 5,34000.0,2018,210000,235,2.993,6.5,2025-03-31,False,True,90
Citroën,C4 Picasso,3800.0,2008,171000,92,1.749,8.0,2025-11-30,False,True,10
BMW,serija 5,19999.0,2014,314000,190,2.993,8.0,2025-06-30,False,True,54
BMW,serija 3 Touring,7700.0,2012,240000,135,1.995,7.0,2025-09-30,False,False,44
Alfa Romeo,MiTo,4500.0,2008,195000,58,1.368,7.9,2025-05-31,True,False,20
Audi,A6,45900.0,2019,116000,150,1.968,6.0,,True,True,75
Audi,A1,25900.0,2020,42000,85,1.68,6.0,2025-02-28,True,True,62
Citroën,C5 Aircross,25000.0,2021,102000,168,1.598,5.2,2025-08-31,False,True,57
BMW,serija 3,9000.0,2012,194269,135,1.995,6.0,2025-04-30,True,True,52
BMW,serija 5,69000.0,2023,9740,145,1.995,5.2,,True,True,53
Citroën,C1,8700.0,2020,33900,53,0.998,5.0,2025-05-31,False,True,31
BMW,serija 5,28900.0,2019,129000,140,1.998,7.0,,True,True,51
BMW,serija 1,7850.0,2012,209000,85,1.598,5.5,2025-03-31,False,True,44
BMW,serija 1,39999.0,2023,9400,85,1.496,5.0,2025-06-30,True,True,70
Audi,A6,36777.0,2019,133000,210,3.0,5.6,2025-07-31,True,True,64
Audi,Q2,22950.0,2017,72376,85,1.598,5.5,,True,False,53
Audi,Q3,39900.0,2023,16700,110,1.498,7.0,2025-05-31,True,True,63
Ford,B-Max,9900.0,2016,108000,70,1.499,3.72,,True,True,83
Ford,Focus,2700.0,2008,237000,59,1.388,6.0,2025-02-28,True,False,31
Ford,Mondeo,15400.0,2017,87000,88,1.499,3.57,,True,True,84
BMW,serija 2 Active Tourer,14800.0,2019,153000,85,1.496,5.5,2025-05-31,True,False,49
BMW,X4,55000.0,2017,60000,265,2.979,10.0,,False,False,145
Ford,C-Max,6150.0,2011,185000,88,1.6,6.0,2025-10-31,False,False,41
BMW,serija 5,31500.0,2017,98500,140,1.995,4.5,2025-10-31,False,False,54
BMW,X1,11490.0,2012,166000,105,1.999,6.0,,True,False,49
BMW,X1,22950.0,2019,151995,140,1.995,5.4,,True,False,41
Audi,Q3,23850.0,2019,140860,110,1.968,5.9,,True,False,34
BMW,serija 1,6900.0,2011,219000,105,1.995,5.5,2025-11-30,False,False,48
BMW,serija 6,43900.0,2021,34500,286,1.998,7.5,,True,False,62
Ford,S-Max,26900.0,2018,146000,150,2.0,8.5,2025-05-31,True,True,60
Audi,A6 Avant,36800.0,2019,60000,150,1.968,7.5,2025-02-28,True,True,107
BMW,serija 5,34500.0,2020,57000,140,1.995,5.5,2025-11-30,True,True,83
BMW,serija 1,24500.0,2021,103000,110,1.995,5.8,2024-11-30,True,True,66
Audi,A5 Coupe,22000.0,2014,192000,180,3.0,8.0,,True,False,58
BMW,serija 2,16300.0,2018,198000,100,2.0,4.2,2025-06-30,False,False,53
Audi,A3,11700.0,2013,200000,77,1.598,5.0,2024-12-31,True,True,75
Audi,A1,9699.0,2012,76000,63,1.197,5.1,,True,False,76
Audi,A6 Allroad,40999.0,2019,179500,170,2.967,6.7,,True,False,112
Audi,A6,17000.0,2014,188000,140,1.968,6.4,2025-08-31,True,False,89
BMW,serija 1,9300.0,2013,215000,85,1.995,5.0,2025-11-30,True,True,96
BMW,X1,31000.0,2019,73000,110,1.998,5.7,2025-03-31,False,True,67
Audi,A4 Avant,8800.0,2011,241568,100,1.978,5.0,,False,False,37
Audi,A3 Cabrio,20100.0,2016,155000,135,1.999,6.0,,True,True,62
Ford,Mondeo,1300.0,2002,247458,85,1.998,6.5,,False,False,28
Fiat,Tipo,17500.0,2021,45000,96,1.598,4.4,2025-06-30,True,False,59
Audi,A4 Avant,20499.0,2020,78457,140,1.999,4.5,2025-06-30,True,True,68
Ford,Focus,6500.0,2018,269000,70,1.499,5.7,,True,True,40
Citroën,C4 Spacetourer,12900.0,2019,117000,96,1.499,5.0,2025-04-30,False,True,50
BMW,serija 3,33500.0,2019,188200,195,2.993,6.0,2025-02-28,True,True,59
Dodge,RAM,55000.0,2019,92000,295,5.7,17.0,,False,False,64
Citroën,C3,3500.0,2010,217000,70,1.397,6.5,2025-10-31,False,False,38
BMW,X4,32999.0,2018,176000,190,2.993,8.0,,False,True,122
Audi,A4 Avant,12400.0,2015,163000,110,1.968,5.0,2025-07-31,True,True,72
BMW,serija 3,33999.0,2020,57000,140,1.995,4.7,,True,False,91
Ford,Focus,18950.0,2021,20400,115,0.999,4.0,2025-03-31,True,False,59
BMW,serija 3 Touring,29500.0,2020,109000,140,1.998,6.0,,True,True,60
BMW,serija 3,16700.0,2018,146000,110,1.995,5.0,2025-09-30,True,True,46
Audi,A4,26550.0,2021,101500,120,2.0,5.0,2025-02-28,False,True,64
Audi,A4,18850.0,2016,340000,200,3.0,6.5,2025-06-30,True,False,52
Alfa Romeo,159,5300.0,2010,246700,125,2.0,6.5,2025-06-30,False,True,35
Audi,A4,18900.0,2016,240000,110,1.968,4.5,2025-07-31,False,False,53
Audi,A5 Sportback,33000.0,2019,112000,110,1.999,5.5,2025-06-30,False,True,54
Citroën,Berlingo,10999.0,2015,126000,88,1.56,6.2,,True,True,46
BMW,serija 5 Touring,16900.0,2014,299000,190,2.993,7.4,,True,True,104
Citroën,C3,7950.0,2017,116690,60,1.199,5.0,,True,False,27
Audi,A4,30500.0,2019,110000,140,1.968,6.0,2025-03-31,True,False,49
Chrysler,PT Cruiser,3950.0,2002,135000,110,2.2,7.0,2025-06-30,False,False,12
Audi,A4 Avant,14600.0,2014,195000,110,1.968,6.5,2025-04-30,True,False,87
Ford,Focus,6999.0,2011,165000,70,1.56,4.9,,True,True,79
Citroën,C4 Grand Picasso,9990.0,2016,167800,88,1.56,8.0,2025-10-31,True,False,78
Citroën,DS3,7800.0,2013,52000,88,1.598,6.0,2025-08-31,False,False,63
BMW,serija 1,27980.0,2021,64417,110,1.995,4.7,,False,True,58
BMW,serija 3,16800.0,2018,173000,110,2.0,5.0,2025-06-30,True,True,58
BMW,serija 2 Active Tourer,12600.0,2017,150000,85,1.496,5.0,2025-08-31,True,False,73
Audi,A6 Avant,55700.0,2021,33551,195,1.984,5.9,2025-05-31,True,True,80
Citroën,Berlingo,7500.0,2011,163000,55,1.56,6.2,,True,True,38
Audi,A4 Avant,24490.0,2020,62000,120,1.984,5.0,2025-06-30,True,True,54
Ford,Focus,3200.0,2007,215000,66,1.56,4.4,2025-09-30,False,False,28
Audi,A3,14000.0,2013,127000,132,1.8,7.0,2025-02-28,True,False,51
Audi,A5 Sportback,29300.0,2019,115000,110,1.968,4.3,2025-07-31,True,True,89
BMW,serija 5,44900.0,2017,20800,340,2.993,10.0,2025-02-28,True,True,74
Chrysler,Neon,2000.0,2000,127517,98,1.996,8.0,,False,False,29
BMW,serija 1,11300.0,2015,209000,85,1.496,4.6,2025-10-31,True,True,110
BMW,serija 3,2700.0,2000,280000,100,2.0,4.9,2025-08-31,False,True,33
Audi,A6 Avant,13800.0,2012,260000,130,1.968,6.0,2024-07-31,True,True,49
Alfa Romeo,Stelvio,19999.0,2020,168900,118,2.143,6.0,,True,False,21
Citroën,C4,7450.0,2013,98000,68,1.56,5.2,2025-06-30,False,True,50
BMW,X1,23900.0,2020,87000,110,2.0,4.9,2025-07-31,False,True,13
Citroën,Spacetourer,22500.0,2018,192000,85,1.56,8.0,2025-04-30,False,False,47
Audi,A4,23000.0,2018,141777,110,1.968,5.2,2025-04-30,True,False,41
Audi,A6 Avant,17399.0,2015,157000,140,1.968,6.5,2025-02-28,True,True,89
BMW,X3,56500.0,2022,20000,140,1.995,5.8,,False,True,49
Ford,C-Max,3300.0,2008,267802,80,1.56,6.0,2025-01-31,False,True,24
Audi,A4 Avant,15300.0,2016,148850,110,1.968,5.6,2025-02-28,True,False,49
BMW,serija 5,35999.0,2018,191000,195,2.993,7.0,2025-05-31,True,True,75
BMW,serija 1,5700.0,2008,179000,105,1.995,7.4,2025-06-30,False,False,74
BMW,serija 1,17900.0,2020,144000,85,1.5,5.0,,True,True,57
BMW,serija 3 Coupe,9999.0,2008,199856,170,1.995,8.0,,False,False,37
Fiat,500,4999.0,2008,100000,55,1.248,4.0,,True,True,64
BMW,serija 5,18200.0,2014,135000,140,2.0,6.0,2025-04-30,True,True,53
Citroën,C4 Picasso,7400.0,2016,240000,88,1.6,4.0,2025-02-28,False,False,36
Alfa Romeo,MiTo,7300.0,2014,102500,77,0.875,7.1,2025-06-30,True,False,36
Audi,A3,16200.0,2017,135000,81,1.598,5.0,2025-10-31,True,True,52
Audi,RS4,59000.0,2020,132000,331,2.9,9.0,2025-06-30,True,True,74
Audi,Q5,27250.0,2018,116000,110,1.986,6.0,2025-05-31,True,False,45
Ford,Focus Karavan,4599.0,2014,269000,70,1.56,6.0,2025-04-30,False,True,40
BMW,serija 1,7999.0,2012,210000,85,1.995,5.5,2025-04-30,False,False,79
Audi,Q7,49900.0,2018,164624,200,2.967,7.8,2024-11-30,True,True,69
Audi,A4,19999.0,2016,222000,140,2.0,6.3,,False,False,5
Ford,Focus,7700.0,2015,246000,88,1.5,4.8,2025-05-31,False,True,41
BMW,X1,56000.0,2023,26000,145,1.995,5.3,,False,False,59
Fiat,500X,16999.0,2019,60000,88,0.999,5.9,2025-01-31,True,True,63
BMW,serija 5,12000.0,2013,240000,135,1.995,6.0,2024-12-31,False,False,34
BMW,serija 7,95500.0,2022,58000,210,2.993,7.0,2025-02-28,True,True,76
Alfa Romeo,Stelvio,22000.0,2018,104800,140,2.143,6.5,,True,False,54
Ford,B-Max,5500.0,2014,150000,74,1.0,7.0,2025-02-28,False,False,36
Fiat,Doblo,6500.0,2010,277038,66,1.248,4.9,2025-12-31,True,True,49
Dacia,Sandero,8100.0,2019,119000,66,1.5,5.5,2025-03-31,False,False,43
Alfa Romeo,Stelvio,37990.0,2020,90000,154,2.143,6.5,,False,True,24
Audi,A6 Avant,29000.0,2021,155000,120,1.986,6.2,2025-06-30,True,True,58
BMW,serija 3 Touring,16000.0,2015,217000,140,2.0,6.0,2025-06-30,True,False,48
Audi,A4 Avant,24200.0,2019,165000,110,1.968,5.0,2025-05-31,True,True,75
BMW,serija 1,8500.0,2011,213000,105,1.995,6.5,2025-04-30,False,False,88
Citroën,C3,4600.0,2014,117000,50,0.999,4.0,2025-06-30,False,False,45
Citroën,C3 Aircross,20300.0,2022,16500,81,1.499,5.0,,True,True,78
Audi,A4 Avant,13000.0,2015,198000,100,1.98,6.0,2025-09-30,True,True,52
Fiat,Panda,5990.0,2013,153000,63,0.875,6.0,,True,True,25
Audi,A6,42900.0,2020,140118,210,2.967,5.6,,False,False,48
Audi,A4,15000.0,2014,147000,110,1.963,5.5,2025-06-30,False,False,52
BMW,serija 1,21990.0,2021,83364,100,1.499,5.7,,True,True,47
Audi,A4,17300.0,2016,189000,110,2.0,5.0,,True,True,46
Ford,Focus,4600.0,2010,219172,80,1.56,5.3,,False,False,59
Ford,Ranger,24375.0,2018,155000,118,2.198,8.0,2025-06-30,False,False,18
Audi,A4,25000.0,2016,240000,200,3.0,7.0,2025-06-30,True,True,76
Audi,A3,15000.0,2017,180000,110,2.0,5.5,2025-06-30,True,False,51
Audi,A7,36900.0,2016,133000,160,3.0,10.0,2025-06-30,True,False,58
Citroën,C3 Picasso,5900.0,2015,180000,68,1.56,5.0,,True,True,61
Citroën,C1,4000.0,2012,144100,50,0.998,5.0,2025-06-30,False,True,15
Fiat,Punto,2200.0,2009,230000,58,1.4,6.5,2025-04-30,True,False,18
BMW,serija 3,17900.0,2017,160000,140,2.0,6.5,2025-06-30,True,False,50
BMW,serija 1,11500.0,2012,248260,135,1.995,5.5,2025-09-30,True,False,111
BMW,X5,41000.0,2018,125000,225,2.0,7.0,2024-10-31,True,True,71
Citroën,Berlingo,14990.0,2019,126113,75,1.499,4.2,,True,True,73
BMW,serija 3,30999.0,2020,118000,140,2.0,5.0,2025-04-30,False,True,63
Audi,Q5,17600.0,2014,138500,110,1.968,6.0,,False,True,63
BMW,serija 4 Gran Coupe,15800.0,2016,253800,140,1.995,6.2,,True,True,51
BMW,X1,16999.0,2015,144844,110,1.995,6.0,2025-04-30,True,True,51
BMW,serija 3,11300.0,2016,299450,85,1.995,5.5,2025-08-31,False,False,63
Audi,A4,26900.0,2018,79000,140,1.968,6.0,2024-11-30,True,True,115
BMW,serija 5,18000.0,2013,250000,190,3.0,8.0,2025-03-31,True,False,43
BMW,X3,8800.0,2009,182500,130,1.995,10.0,2025-01-31,False,False,34
Audi,A3,24500.0,2020,55000,150,1.4,1.4,2025-01-31,True,False,39
Ford,Focus,6900.0,2014,180000,85,1.56,5.5,2025-10-31,False,False,43
BMW,serija 3,15500.0,2017,217000,190,2.998,6.0,2025-07-31,True,True,68
Citroën,C4 Picasso,10900.0,2016,126000,73,1.56,5.0,,True,True,104
BMW,serija 5 Touring,19000.0,2014,220000,190,2.993,8.8,,False,True,122
Fiat,Doblo,7000.0,2007,171000,77,1.91,5.6,2025-06-30,False,True,19
BMW,serija 8,149000.0,2020,39000,460,6.0,14.3,2025-06-30,True,True,74
BMW,serija 5,10990.0,2011,292000,135,1.998,6.0,,False,True,35
BMW,serija 3 Gran Turismo,19300.0,2016,190000,140,1.995,6.5,2025-12-31,True,False,45
Audi,A5 Sportback,31800.0,2020,172000,120,1.968,4.5,2025-07-31,True,True,69
Ford,Focus Karavan,14850.0,2020,125000,88,1.5,4.5,,True,True,44
BMW,serija 1,21900.0,2019,70000,110,1.995,4.0,2025-09-30,True,True,84
BMW,serija 3,14500.0,2016,221000,110,2.0,6.0,2025-07-31,True,False,52
BMW,X1,18900.0,2016,133000,110,1.995,5.5,2025-01-31,True,False,68
Audi,A8,94900.0,2023,10900,210,2.967,7.9,,True,True,66
Cupra,Leon,35327.0,2024,8893,110,1.498,5.7,,False,False,54
Audi,A3 Cabrio,18500.0,2014,136600,110,1.968,6.0,2025-07-31,True,False,46
BMW,serija 1,36500.0,2023,7900,110,1.98,5.0,2025-07-31,True,True,19
Citroën,C5,3600.0,2008,240000,100,1.997,7.0,2025-05-31,True,False,47
Dacia,Duster,15500.0,2020,19992,74,0.999,5.0,,True,True,13
Audi,A6 Avant,29999.0,2019,142600,150,1.968,5.7,,True,False,115
Audi,A1,17999.0,2020,104000,70,0.999,5.0,,True,True,44
Fiat,500,14999.0,2014,97000,103,1.368,7.0,2025-05-31,False,True,39
Citroën,C4 Grand Picasso,7990.0,2015,245000,85,1.56,6.0,2025-04-30,False,True,36
Dacia,Dokker,7999.0,2015,140000,85,1.197,6.0,2025-07-31,True,True,70
Ford,Mondeo,6700.0,2012,193000,85,1.56,5.5,2024-10-31,True,True,54
